population,known_relationship,tested_relationship,classification,prop_LR_gt_1,prop_LR_gt_10,prop_LR_gt_100,prop_LR_gt_1000
all,full_siblings,parent_child,Related FP,0.996,0.958,0.796,0.436
all,half_siblings,parent_child,Related FP,0.104,0.02,0,0
all,cousins,parent_child,Related FP,0,0,0,0
all,second_cousins,parent_child,Related FP,0,0,0,0
all,parent_child,parent_child,True Positive,1,1,1,1
all,unrelated,parent_child,Unrelated FP,0,0,0,0
AfAm,full_siblings,parent_child,Related FP,1,0.99,0.876,0.632
AfAm,half_siblings,parent_child,Related FP,0.16,0.032,0.004,0
AfAm,cousins,parent_child,Related FP,0,0,0,0
AfAm,second_cousins,parent_child,Related FP,0,0,0,0
AfAm,parent_child,parent_child,True Positive,1,1,1,1
AfAm,unrelated,parent_child,Unrelated FP,0,0,0,0
Asian,full_siblings,parent_child,Related FP,0.992,0.91,0.68,0.32
Asian,half_siblings,parent_child,Related FP,0.062,0.002,0,0
Asian,cousins,parent_child,Related FP,0,0,0,0
Asian,second_cousins,parent_child,Related FP,0,0,0,0
Asian,parent_child,parent_child,True Positive,1,1,1,1
Asian,unrelated,parent_child,Unrelated FP,0,0,0,0
Cauc,full_siblings,parent_child,Related FP,0.998,0.972,0.854,0.57
Cauc,half_siblings,parent_child,Related FP,0.116,0.016,0,0
Cauc,cousins,parent_child,Related FP,0,0,0,0
Cauc,second_cousins,parent_child,Related FP,0,0,0,0
Cauc,parent_child,parent_child,True Positive,1,1,1,1
Cauc,unrelated,parent_child,Unrelated FP,0,0,0,0
Hispanic,full_siblings,parent_child,Related FP,0.996,0.948,0.75,0.402
Hispanic,half_siblings,parent_child,Related FP,0.058,0.004,0.002,0
Hispanic,cousins,parent_child,Related FP,0,0,0,0
Hispanic,second_cousins,parent_child,Related FP,0,0,0,0
Hispanic,parent_child,parent_child,True Positive,1,1,1,1
Hispanic,unrelated,parent_child,Unrelated FP,0,0,0,0
all,parent_child,full_siblings,Related FP,1,1,1,1
all,half_siblings,full_siblings,Related FP,0.968,0.802,0.428,0.142
all,cousins,full_siblings,Related FP,0,0,0,0
all,second_cousins,full_siblings,Related FP,0,0,0,0
all,full_siblings,full_siblings,True Positive,1,1,1,1
all,unrelated,full_siblings,Unrelated FP,0,0,0,0
AfAm,parent_child,full_siblings,Related FP,1,1,1,1
AfAm,half_siblings,full_siblings,Related FP,0.978,0.872,0.588,0.268
AfAm,cousins,full_siblings,Related FP,0,0,0,0
AfAm,second_cousins,full_siblings,Related FP,0,0,0,0
AfAm,full_siblings,full_siblings,True Positive,1,1,1,1
AfAm,unrelated,full_siblings,Unrelated FP,0,0,0,0
Asian,parent_child,full_siblings,Related FP,1,1,1,1
Asian,half_siblings,full_siblings,Related FP,0.916,0.69,0.352,0.086
Asian,cousins,full_siblings,Related FP,0,0,0,0
Asian,second_cousins,full_siblings,Related FP,0,0,0,0
Asian,full_siblings,full_siblings,True Positive,1,1,1,1
Asian,unrelated,full_siblings,Unrelated FP,0,0,0,0
Cauc,parent_child,full_siblings,Related FP,1,1,1,1
Cauc,half_siblings,full_siblings,Related FP,0.966,0.824,0.504,0.186
Cauc,cousins,full_siblings,Related FP,0,0,0,0
Cauc,second_cousins,full_siblings,Related FP,0,0,0,0
Cauc,full_siblings,full_siblings,True Positive,1,1,1,1
Cauc,unrelated,full_siblings,Unrelated FP,0,0,0,0
Hispanic,parent_child,full_siblings,Related FP,1,1,1,1
Hispanic,half_siblings,full_siblings,Related FP,0.938,0.706,0.36,0.096
Hispanic,cousins,full_siblings,Related FP,0,0,0,0
Hispanic,second_cousins,full_siblings,Related FP,0,0,0,0
Hispanic,full_siblings,full_siblings,True Positive,1,1,1,1
Hispanic,unrelated,full_siblings,Unrelated FP,0,0,0,0
