db_size,db_size_num,true_relationship,tested_relationship,loci_set,n_replicates,median_rank,mean_rank,min_rank,max_rank
10k,10000,Parent-Child,Parent-Child,Core 13,10000,1,1.0039,1,5
20k,20000,Parent-Child,Parent-Child,Core 13,10000,1,1.0097,1,7
100k,100000,Parent-Child,Parent-Child,Core 13,10000,1,1.0457,1,31
10k,10000,Parent-Child,Parent-Child,Expanded 20,10000,1,1,1,1
20k,20000,Parent-Child,Parent-Child,Expanded 20,10000,1,1,1,1
100k,100000,Parent-Child,Parent-Child,Expanded 20,10000,1,1,1,1
10k,10000,Parent-Child,Full Siblings,Core 13,10000,1,1.2649,1,183
20k,20000,Parent-Child,Full Siblings,Core 13,10000,1,1.5231,1,330
100k,100000,Parent-Child,Full Siblings,Core 13,10000,1,3.7004,1,1800
10k,10000,Parent-Child,Full Siblings,Expanded 20,10000,1,1.0008,1,6
20k,20000,Parent-Child,Full Siblings,Expanded 20,10000,1,1.0024,1,8
100k,100000,Parent-Child,Full Siblings,Expanded 20,10000,1,1.0108,1,36
10k,10000,Full Siblings,Parent-Child,Core 13,10000,5001,4313.55025,1,5004
20k,20000,Full Siblings,Parent-Child,Core 13,10000,10001,8626.09945,1,10006.5
100k,100000,Full Siblings,Parent-Child,Core 13,10000,50001,43126.50875,1,50022.5
10k,10000,Full Siblings,Parent-Child,Expanded 20,10000,5001,4800,1,5001
20k,20000,Full Siblings,Parent-Child,Expanded 20,10000,10001,9599.0001,1,10001.5
100k,100000,Full Siblings,Parent-Child,Expanded 20,10000,50001,47991.00025,1,50001.5
10k,10000,Full Siblings,Full Siblings,Core 13,10000,1,5.6055,1,3491
20k,20000,Full Siblings,Full Siblings,Core 13,10000,1,10.0941,1,6817
100k,100000,Full Siblings,Full Siblings,Core 13,10000,1,47.1054,1,34886
10k,10000,Full Siblings,Full Siblings,Expanded 20,10000,1,1.1098,1,212
20k,20000,Full Siblings,Full Siblings,Expanded 20,10000,1,1.2275,1,417
100k,100000,Full Siblings,Full Siblings,Expanded 20,10000,1,2.1165,1,2016
10k,10000,Half Siblings,Parent-Child,Core 13,10000,5001,4941.0576,1,5005.5
20k,20000,Half Siblings,Parent-Child,Core 13,10000,10001,9881.1177,1,10007.5
100k,100000,Half Siblings,Parent-Child,Core 13,10000,50001,49401.5855,1,50036.5
10k,10000,Half Siblings,Parent-Child,Expanded 20,10000,5001,4997,1,5001
20k,20000,Half Siblings,Parent-Child,Expanded 20,10000,10001,9993.0003,1,10001.5
100k,100000,Half Siblings,Parent-Child,Expanded 20,10000,50001,49961.00045,1,50001.5
10k,10000,Half Siblings,Full Siblings,Core 13,10000,6,249.3665,1,9296
20k,20000,Half Siblings,Full Siblings,Core 13,10000,10,493.1074,1,18563
100k,100000,Half Siblings,Full Siblings,Core 13,10000,49,2475.94275,1,92820
10k,10000,Half Siblings,Full Siblings,Expanded 20,10000,1,63.194,1,7985
20k,20000,Half Siblings,Full Siblings,Expanded 20,10000,1,124.2044,1,16027
100k,100000,Half Siblings,Full Siblings,Expanded 20,10000,3,621.594,1,79995
