db_size,db_size_num,true_relationship,tested_relationship,loci_set,threshold,n,k,prop,ci_lo,ci_hi
10k,10000,Parent-Child,Parent-Child,Core 13,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Core 13,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Core 13,Top 10,10000,9995,0.9995,0.9988299568100467,0.9997864147246645
10k,10000,Parent-Child,Parent-Child,Core 13,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Core 13,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Core 13,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Parent-Child,Core 13,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Core 13,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Core 13,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Parent-Child,Core 13,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Core 13,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Core 13,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Parent-Child,Expanded 20,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Expanded 20,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Expanded 20,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Parent-Child,Expanded 20,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Expanded 20,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Expanded 20,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Parent-Child,Expanded 20,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Expanded 20,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Expanded 20,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Parent-Child,Expanded 20,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Parent-Child,Expanded 20,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Parent-Child,Expanded 20,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Full Siblings,Core 13,Top 10,10000,9947,0.9947,0.9930745610923404,0.9959454969621573
20k,20000,Parent-Child,Full Siblings,Core 13,Top 10,10000,9888,0.9888,0.9865415454391036,0.9906830439626317
100k,100000,Parent-Child,Full Siblings,Core 13,Top 10,10000,9643,0.9643,0.960481426202353,0.9677619798107929
10k,10000,Parent-Child,Full Siblings,Core 13,Top 50,10000,9991,0.9991,0.9982902504013439,0.9995264283433495
20k,20000,Parent-Child,Full Siblings,Core 13,Top 50,10000,9983,0.9983,0.9972789915054465,0.9989383016592113
100k,100000,Parent-Child,Full Siblings,Core 13,Top 50,10000,9892,0.9892,0.9869779743101064,0.9910463078816467
10k,10000,Parent-Child,Full Siblings,Core 13,Top 100,10000,9998,0.9998,0.9992709889064336,0.9999451522207908
20k,20000,Parent-Child,Full Siblings,Core 13,Top 100,10000,9993,0.9993,0.9985556471425939,0.9996608779971082
100k,100000,Parent-Child,Full Siblings,Core 13,Top 100,10000,9951,0.9951,0.9935283587352335,0.996291392109282
10k,10000,Parent-Child,Full Siblings,Core 13,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Full Siblings,Core 13,Top 200,10000,9997,0.9997,0.9991182482825978,0.9998979696471224
100k,100000,Parent-Child,Full Siblings,Core 13,Top 200,10000,9977,0.9977,0.9965508971999048,0.9984668567797265
10k,10000,Parent-Child,Full Siblings,Expanded 20,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Full Siblings,Expanded 20,Top 10,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Full Siblings,Expanded 20,Top 10,10000,9999,0.9999,0.9994337165442557,0.999982347780473
10k,10000,Parent-Child,Full Siblings,Expanded 20,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Full Siblings,Expanded 20,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Full Siblings,Expanded 20,Top 50,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Full Siblings,Expanded 20,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Full Siblings,Expanded 20,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Full Siblings,Expanded 20,Top 100,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Parent-Child,Full Siblings,Expanded 20,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
20k,20000,Parent-Child,Full Siblings,Expanded 20,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
100k,100000,Parent-Child,Full Siblings,Expanded 20,Top 200,10000,10000,1,0.9996159875222334,0.9999999999999999
10k,10000,Full Siblings,Parent-Child,Core 13,Top 10,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
20k,20000,Full Siblings,Parent-Child,Core 13,Top 10,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
100k,100000,Full Siblings,Parent-Child,Core 13,Top 10,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
10k,10000,Full Siblings,Parent-Child,Core 13,Top 50,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
20k,20000,Full Siblings,Parent-Child,Core 13,Top 50,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
100k,100000,Full Siblings,Parent-Child,Core 13,Top 50,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
10k,10000,Full Siblings,Parent-Child,Core 13,Top 100,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
20k,20000,Full Siblings,Parent-Child,Core 13,Top 100,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
100k,100000,Full Siblings,Parent-Child,Core 13,Top 100,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
10k,10000,Full Siblings,Parent-Child,Core 13,Top 200,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
20k,20000,Full Siblings,Parent-Child,Core 13,Top 200,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
100k,100000,Full Siblings,Parent-Child,Core 13,Top 200,10000,1375,0.1375,0.1308893261772939,0.1443890828690869
10k,10000,Full Siblings,Parent-Child,Expanded 20,Top 10,10000,402,0.0402,0.036523271820358055,0.04422986605419604
20k,20000,Full Siblings,Parent-Child,Expanded 20,Top 10,10000,402,0.0402,0.036523271820358055,0.04422986605419604
100k,100000,Full Siblings,Parent-Child,Expanded 20,Top 10,10000,402,0.0402,0.036523271820358055,0.04422986605419604
10k,10000,Full Siblings,Parent-Child,Expanded 20,Top 50,10000,402,0.0402,0.036523271820358055,0.04422986605419604
20k,20000,Full Siblings,Parent-Child,Expanded 20,Top 50,10000,402,0.0402,0.036523271820358055,0.04422986605419604
100k,100000,Full Siblings,Parent-Child,Expanded 20,Top 50,10000,402,0.0402,0.036523271820358055,0.04422986605419604
10k,10000,Full Siblings,Parent-Child,Expanded 20,Top 100,10000,402,0.0402,0.036523271820358055,0.04422986605419604
20k,20000,Full Siblings,Parent-Child,Expanded 20,Top 100,10000,402,0.0402,0.036523271820358055,0.04422986605419604
100k,100000,Full Siblings,Parent-Child,Expanded 20,Top 100,10000,402,0.0402,0.036523271820358055,0.04422986605419604
10k,10000,Full Siblings,Parent-Child,Expanded 20,Top 200,10000,402,0.0402,0.036523271820358055,0.04422986605419604
20k,20000,Full Siblings,Parent-Child,Expanded 20,Top 200,10000,402,0.0402,0.036523271820358055,0.04422986605419604
100k,100000,Full Siblings,Parent-Child,Expanded 20,Top 200,10000,402,0.0402,0.036523271820358055,0.04422986605419604
10k,10000,Full Siblings,Full Siblings,Core 13,Top 10,10000,9685,0.9685,0.9648925948264948,0.9717475854818378
20k,20000,Full Siblings,Full Siblings,Core 13,Top 10,10000,9605,0.9605,0.9565020879296973,0.9641442365782797
100k,100000,Full Siblings,Full Siblings,Core 13,Top 10,10000,9319,0.9319,0.9267947262691065,0.9366735637525985
10k,10000,Full Siblings,Full Siblings,Core 13,Top 50,10000,9861,0.9861,0.9836115010659705,0.9882151620031447
20k,20000,Full Siblings,Full Siblings,Core 13,Top 50,10000,9801,0.9801,0.9771726872404704,0.982658583978378
100k,100000,Full Siblings,Full Siblings,Core 13,Top 50,10000,9612,0.9612,0.9572343656144804,0.9648114212760277
10k,10000,Full Siblings,Full Siblings,Core 13,Top 100,10000,9912,0.9912,0.9891714948150462,0.9928512513267959
20k,20000,Full Siblings,Full Siblings,Core 13,Top 100,10000,9866,0.9866,0.9841522258286299,0.9886740532280076
100k,100000,Full Siblings,Full Siblings,Core 13,Top 100,10000,9698,0.9698,0.9662610958109578,0.9729780860649327
10k,10000,Full Siblings,Full Siblings,Core 13,Top 200,10000,9957,0.9957,0.9942133470999059,0.9968059429296363
20k,20000,Full Siblings,Full Siblings,Core 13,Top 200,10000,9917,0.9917,0.9897233048004503,0.993299057328914
100k,100000,Full Siblings,Full Siblings,Core 13,Top 200,10000,9775,0.9775,0.9744046763657523,0.9802285917179807
10k,10000,Full Siblings,Full Siblings,Expanded 20,Top 10,10000,9985,0.9985,0.9975263931899461,0.9990907463697207
20k,20000,Full Siblings,Full Siblings,Expanded 20,Top 10,10000,9976,0.9976,0.9964311979663745,0.9983866328157522
