locus,population,tested_population,known_relationship,median_log10_ratio,mean_log10_ratio,sd_log10_ratio,ci_lower,ci_upper,n_pairs,locus_rank
D13S317,AfAm,Asian,cousins,0.00695847206815897,0.0255891726459502,0.0883191230573346,0,0.113694699073657,20000,1
CSF1PO,AfAm,Asian,cousins,0,0.0164677924091363,0.122804003149838,-0.0204440208243413,0.220903603472044,20000,2
D10S1248,AfAm,Asian,cousins,0,0.00650995795348408,0.0762399348825699,-0.0281245583827025,0.0431353942124065,20000,2
D12S391,AfAm,Asian,cousins,0,0.0142162713272321,0.0783283158596663,-0.0567598085090724,0.152787783574578,20000,2
D16S539,AfAm,Asian,cousins,0,0.0101203447370048,0.0672103189207363,-0.0359674934011386,0.0492198383812413,20000,2
D18S51,AfAm,Asian,cousins,0,0.02478663539564,0.0720766139357013,-0.11473665833299,0.221357580605991,20000,2
D19S433,AfAm,Asian,cousins,0,0.0225836747504363,0.135090704282727,-0.0407823875580442,0.2115635772179,20000,2
D1S1656,AfAm,Asian,cousins,0,0.0397484522788017,0.120841609258842,-0.0681763073311158,0.389760130399069,20000,2
D21S11,AfAm,Asian,cousins,0,0.046037871235214,0.17035506419345,-0.0675312913000387,0.493526773913585,20000,2
D22S1045,AfAm,Asian,cousins,0,0.0221137925245702,0.13443332941003,-0.0247621776476004,0.485126604742496,20000,2
D2S1338,AfAm,Asian,cousins,0,0.0306152272333937,0.110336829272541,-0.0486624812040824,0.418474680884335,20000,2
D2S441,AfAm,Asian,cousins,0,0.0181333029799792,0.0535720999710879,-0.0900398994028723,0.168158873359326,20000,2
D3S1358,AfAm,Asian,cousins,0,0.00401496074765247,0.0409429689999813,-0.0130221475036743,0.216114209141163,20000,2
D5S818,AfAm,Asian,cousins,0,0.0154800740598077,0.0703435012352989,-0.0760948184974168,0.0522235328099056,20000,2
D6S1043,AfAm,Asian,cousins,0,0.00825653968933017,0.0470185907626959,-0.0366087740762309,0.0952592644883666,20000,2
D7S820,AfAm,Asian,cousins,0,0.00968299877342577,0.038914575550125,-0.0677905212364588,0.130920883038151,20000,2
D8S1179,AfAm,Asian,cousins,0,0.00678961660293219,0.031438754636921,-0.0503599107364801,0.0529679187945884,20000,2
F13A01,AfAm,Asian,cousins,0,0.110116867800502,0.208717035721573,-0.0769049779100425,0.628781778997861,20000,2
F13B,AfAm,Asian,cousins,0,0.2063972030919,0.306422230134934,-0.0857043409461583,0.865953520041727,20000,2
FESFPS,AfAm,Asian,cousins,0,0.0464150904495598,0.201772483057762,-0.0287529822340567,1.06535975900621,20000,2
FGA,AfAm,Asian,cousins,0,0.00685645021477066,0.063424916577724,-0.0234664607149634,0.154730606863812,20000,2
LPL,AfAm,Asian,cousins,0,0.0467235862896762,0.184081758824922,-0.0354304994982534,0.793862487340494,20000,2
Penta_C,AfAm,Asian,cousins,0,0.0167938065386211,0.0861825427735351,-0.04439443097369,0.371427319372839,20000,2
Penta_D,AfAm,Asian,cousins,0,0.082321559139988,0.284783909247218,-0.0648641255746949,1.08033057399136,20000,2
Penta_E,AfAm,Asian,cousins,0,0.107814530772669,0.300088683241423,-0.102448666870991,1.07023701321221,20000,2
SE33,AfAm,Asian,cousins,0,0.0284076853001234,0.133703021604573,-0.130342524520408,0.346962041886935,20000,2
TH01,AfAm,Asian,cousins,0,0.0174393028124168,0.0465160570375514,-0.0541715286354312,0.137216408637515,20000,2
TPOX,AfAm,Asian,cousins,0,0.036590293035888,0.179521710678696,-0.029796411590527,1.01107418350213,20000,2
vWA,AfAm,Asian,cousins,0,0.0378057223374482,0.120033530598895,-0.0715460760565322,0.362243844119257,20000,2
F13B,AfAm,Asian,full_siblings,0.663105940313699,0.712989180480907,0.85059256588682,-0.568761236009752,2.67427791357818,20000,1
F13A01,AfAm,Asian,full_siblings,0.564821344385925,0.464402796503379,0.65960402397696,-0.464360887964641,1.98283895802004,20000,2
D13S317,AfAm,Asian,full_siblings,0.185501619073348,0.156990904684995,0.32518763271217,-0.580828317800477,1.18281812317444,20000,3
TH01,AfAm,Asian,full_siblings,0.109695527874492,0.0994449267317691,0.238567300743489,-0.349187109278328,0.509194393184898,20000,4
D5S818,AfAm,Asian,full_siblings,0.105934507697626,0.0906829193585323,0.264412905507956,-0.433479747547972,0.923504451811921,20000,5
Penta_E,AfAm,Asian,full_siblings,0.102513890526054,0.37785346167875,0.731332586912158,-0.625775628955732,1.72920507654287,20000,6
D18S51,AfAm,Asian,full_siblings,0.0947929982116105,0.141235474857119,0.305924064612671,-0.601278182868582,0.728484914139951,20000,7
D7S820,AfAm,Asian,full_siblings,0.0670233465215905,0.0549980003949365,0.190410045335033,-0.266965755204038,0.443552848176369,20000,8
D16S539,AfAm,Asian,full_siblings,0.0488733760528969,0.0582604185914779,0.228683813705812,-0.229931850851714,0.880340796243782,20000,9
D8S1179,AfAm,Asian,full_siblings,0.0323661465142147,0.0416904285461749,0.155994977138742,-0.430178616728598,0.271113393585998,20000,10
D2S441,AfAm,Asian,full_siblings,0.0108213009435918,0.0999555849237324,0.258729316402303,-0.406960724349325,0.662833404105368,20000,11
D6S1043,AfAm,Asian,full_siblings,0.00885432315661247,0.0503445388724014,0.197605728236491,-0.353320905347453,0.489442491930628,20000,12
CSF1PO,AfAm,Asian,full_siblings,0,0.0729106156834412,0.317414455616826,-0.241265693922377,1.31848072517452,20000,13
D10S1248,AfAm,Asian,full_siblings,0,0.0289377125442325,0.214074445788232,-0.1474767958653,1.10375641690344,20000,13
D12S391,AfAm,Asian,full_siblings,0,0.0664728343219093,0.254613734057175,-0.247929448881393,0.772754197855588,20000,13
D19S433,AfAm,Asian,full_siblings,0,0.107061654832878,0.386963201235989,-0.279387472783067,1.3664884512456,20000,13
D1S1656,AfAm,Asian,full_siblings,0,0.183042515742061,0.417714366679654,-0.406487010198596,1.09140038178422,20000,13
D21S11,AfAm,Asian,full_siblings,0,0.20108405261642,0.492239467267837,-0.462810544248393,1.45967930821955,20000,13
D2S1338,AfAm,Asian,full_siblings,0,0.140986010243101,0.376389933683895,-0.43204414824751,0.895406901194953,20000,13
FESFPS,AfAm,Asian,full_siblings,0,0.206070463825554,0.528721012176904,-0.54287151328404,1.57466555286976,20000,13
FGA,AfAm,Asian,full_siblings,0,0.0427665611892943,0.217067964535579,-0.216813394868253,0.771938061696387,20000,13
LPL,AfAm,Asian,full_siblings,0,0.19137701200488,0.498807263176672,-0.362546587895985,1.45658202950332,20000,13
Penta_C,AfAm,Asian,full_siblings,0,0.0904696707636699,0.295929757292779,-0.279971477517021,0.869494436071748,20000,13
Penta_D,AfAm,Asian,full_siblings,0,0.325218745297957,0.720766234401946,-0.405773515839986,1.62860612354996,20000,13
SE33,AfAm,Asian,full_siblings,0,0.143184967917511,0.396113890302911,-0.415758594125249,1.286207419319,20000,13
TPOX,AfAm,Asian,full_siblings,0,0.159325703199505,0.478529990386519,-0.236785065621139,1.5004129995442,20000,13
vWA,AfAm,Asian,full_siblings,0,0.14830505172047,0.402615422193397,-0.342483954288323,1.10210630610654,20000,13
D3S1358,AfAm,Asian,full_siblings,-0.00908563135363286,0.0202693918415961,0.151509815297592,-0.111106109600972,0.502287083345186,20000,28
D22S1045,AfAm,Asian,full_siblings,-0.0208895816569676,0.103929038730832,0.384717959849344,-0.18615294894188,1.1895013894601,20000,29
F13B,AfAm,Asian,half_siblings,0.0464454274729407,0.440570840842388,0.570060628790073,-0.341210456302502,1.31539985100257,20000,1
D13S317,AfAm,Asian,half_siblings,0.0400090209777958,0.0838926140839782,0.20871644221688,-0.426421358141186,0.332828192864192,20000,2
D8S1179,AfAm,Asian,half_siblings,0.0205296726466225,0.0243109418166258,0.094960844336099,-0.267089638906142,0.128421175675461,20000,3
D2S441,AfAm,Asian,half_siblings,0.0060546705157222,0.0536027493092012,0.15875883892127,-0.310244770655242,0.391250247151967,20000,4
CSF1PO,AfAm,Asian,half_siblings,0,0.0392562839644961,0.225898988516132,-0.20357141873108,1.21967169417583,20000,5
D10S1248,AfAm,Asian,half_siblings,0,0.0172619833482701,0.150906814801384,-0.0875782996668967,0.141368666442382,20000,5
D12S391,AfAm,Asian,half_siblings,0,0.036339040152835,0.171879964045846,-0.175324506413354,0.728559480287725,20000,5
D16S539,AfAm,Asian,half_siblings,0,0.0335315377893919,0.155897637175813,-0.191147870255255,0.190977046436122,20000,5
D18S51,AfAm,Asian,half_siblings,0,0.0812456498472612,0.197160361254367,-0.339552623966002,0.472489627649135,20000,5
D19S433,AfAm,Asian,half_siblings,0,0.0628226720180998,0.27625950394922,-0.225003548181452,1.32258636676165,20000,5
D1S1656,AfAm,Asian,half_siblings,0,0.107000933414593,0.281064736113589,-0.217252997927207,0.753079569261461,20000,5
D21S11,AfAm,Asian,half_siblings,0,0.120514273324539,0.342415640574087,-0.199363876871645,1.38074888617855,20000,5
D2S1338,AfAm,Asian,half_siblings,0,0.083213911116461,0.259105066946676,-0.358483631760763,0.781564996005632,20000,5
D3S1358,AfAm,Asian,half_siblings,0,0.0113105504459676,0.101221704917676,-0.0562229242388389,0.454419546157443,20000,5
D5S818,AfAm,Asian,half_siblings,0,0.0509576003377978,0.174399224907063,-0.322733213096248,0.197280558125619,20000,5
D6S1043,AfAm,Asian,half_siblings,0,0.0274723297000115,0.127802394764538,-0.304474061944141,0.21611863471064,20000,5
D7S820,AfAm,Asian,half_siblings,0,0.0301718358591195,0.117523710565231,-0.20048569800083,0.305112417868708,20000,5
F13A01,AfAm,Asian,half_siblings,0,0.272229341512585,0.429217106349124,-0.29297215756345,1.28837699682384,20000,5
FESFPS,AfAm,Asian,half_siblings,0,0.116560520971956,0.367820772589774,-0.0882762885374509,1.47364269628935,20000,5
FGA,AfAm,Asian,half_siblings,0,0.0235280454918268,0.148313973103688,-0.164069232282258,0.591468634989183,20000,5
LPL,AfAm,Asian,half_siblings,0,0.113195455820265,0.354913937620776,-0.137408075063842,1.22902185760766,20000,5
Penta_C,AfAm,Asian,half_siblings,0,0.0503363986283122,0.195431662809902,-0.209616827072648,0.649225244813028,20000,5
Penta_D,AfAm,Asian,half_siblings,0,0.194487169956609,0.522324091828032,-0.185891107772584,1.515426940126,20000,5
Penta_E,AfAm,Asian,half_siblings,0,0.225506515005084,0.525029665674167,-0.27998034860722,1.4869746672699,20000,5
SE33,AfAm,Asian,half_siblings,0,0.0781251668226029,0.277514249794472,-0.365147495275731,1.1410586349026,20000,5
TH01,AfAm,Asian,half_siblings,0,0.0580799037635532,0.145494114083161,-0.215507700306736,0.348692788752736,20000,5
TPOX,AfAm,Asian,half_siblings,0,0.094027339328942,0.339900639125202,-0.118392532810569,1.44031052418805,20000,5
vWA,AfAm,Asian,half_siblings,0,0.0900937175189187,0.273972179891646,-0.256513238805153,0.844671537372633,20000,5
D22S1045,AfAm,Asian,half_siblings,-0.0136409721212934,0.0567634509903083,0.269577769579522,-0.0861396291324321,0.944743588037802,20000,29
F13A01,AfAm,Asian,parent_child,0.739052367053385,0.419488193060672,0.612234639804424,-0.585458724460122,1.37342825204356,20000,1
F13B,AfAm,Asian,parent_child,0.367734838501761,0.611599094329229,0.753424561463354,-0.755060044022778,1.51344346856372,20000,2
TH01,AfAm,Asian,parent_child,0.182346487848908,0.0950311923316012,0.258599829124686,-0.444326325092834,0.433722390896682,20000,3
D13S317,AfAm,Asian,parent_child,0.177913927707588,0.152457885778557,0.324408252037891,-0.632684567114516,1.21372740917605,20000,4
D5S818,AfAm,Asian,parent_child,0.146075365193435,0.0883172285046948,0.267408956595144,-0.491737043940058,0.957895606530016,20000,5
Penta_E,AfAm,Asian,parent_child,0.124843486145828,0.351321001048222,0.687418802677378,-0.67219310839819,1.63362199373613,20000,6
D18S51,AfAm,Asian,parent_child,0.122991481284234,0.135558180266415,0.308397881312629,-0.723345630845573,0.59367247020254,20000,7
D7S820,AfAm,Asian,parent_child,0.106903288129767,0.0523575650652786,0.202657842097203,-0.300582038448503,0.396130210061228,20000,8
D16S539,AfAm,Asian,parent_child,0.067394746846092,0.0578638226846625,0.243930793555181,-0.289193449519091,1.08793692785384,20000,9
D8S1179,AfAm,Asian,parent_child,0.0404077988374317,0.0419346525127215,0.163997085271874,-0.371334630975791,0.168748971844911,20000,10
SE33,AfAm,Asian,parent_child,0.0235479258076294,0.13481851855259,0.390733371701856,-0.42231563518159,1.32643168936734,20000,11
LPL,AfAm,Asian,parent_child,0.0204367179068075,0.17429343998669,0.494089002676885,-0.267587427741436,1.40213563485503,20000,12
D2S441,AfAm,Asian,parent_child,0.0146883963300873,0.0896642778727571,0.26477778868156,-0.499829721861753,0.511076735284615,20000,13
D6S1043,AfAm,Asian,parent_child,0.0115369293810946,0.0488869668971498,0.204828878532717,-0.422315635181589,0.494138313368334,20000,14
D21S11,AfAm,Asian,parent_child,0.00780905686184792,0.195818930421023,0.489193119997294,-0.288976356546858,1.489933821115,20000,15
CSF1PO,AfAm,Asian,parent_child,0.00101019782288425,0.0677561292771077,0.318246849163183,-0.272553314848258,1.36214724163387,20000,16
D10S1248,AfAm,Asian,parent_child,0,0.0303499444987315,0.216687067368074,-0.135526078632219,1.16257488672867,20000,17
D1S1656,AfAm,Asian,parent_child,0,0.165208981535091,0.413885774485584,-0.379484134149008,0.820722413504706,20000,17
D2S1338,AfAm,Asian,parent_child,0,0.136884065871502,0.377146321770281,-0.499829721861752,0.944107322044384,20000,17
FESFPS,AfAm,Asian,parent_child,0,0.187589926398663,0.505338549960835,-0.649916713687039,1.6148725577233,20000,17
Penta_C,AfAm,Asian,parent_child,0,0.0848775360494708,0.29987604213561,-0.314221455221021,0.884109392369097,20000,17
vWA,AfAm,Asian,parent_child,0,0.142539254338191,0.405986208725532,-0.386675278912458,0.967956932537912,20000,17
TPOX,AfAm,Asian,parent_child,-0.00092445130067853,0.150918544988284,0.477694520699918,-0.171614788509985,1.56896520709147,20000,23
Penta_D,AfAm,Asian,parent_child,-0.00141730470076828,0.308475257615504,0.69407206446436,-0.271886366447047,1.67445824770754,20000,24
D3S1358,AfAm,Asian,parent_child,-0.0149778521691722,0.0190276029198175,0.155233171766153,-0.0742302652112732,0.546167313372345,20000,25
D12S391,AfAm,Asian,parent_child,-0.0167784447590294,0.0597389464574484,0.257247795884847,-0.275779619687628,0.814473464227701,20000,26
FGA,AfAm,Asian,parent_child,-0.044579012597839,0.0382478756973783,0.216429567782581,-0.209501569101169,0.78236364501706,20000,27
D22S1045,AfAm,Asian,parent_child,-0.0534829224649371,0.0959984877468047,0.381049490342791,-0.142683784218841,1.22952167635928,20000,28
D19S433,AfAm,Asian,parent_child,-0.0623077795582694,0.100719945575975,0.380174831625074,-0.304216323103596,1.41583210059665,20000,29
D13S317,AfAm,Asian,second_cousins,0.00345060221403606,0.0147164162870273,0.0610575194318959,0,0.0631808868231674,20000,1
CSF1PO,AfAm,Asian,second_cousins,0,0.00945576870685489,0.0838980233287338,-0.0105262539912477,0.0122708462517066,20000,2
D10S1248,AfAm,Asian,second_cousins,0,0.00417685744721963,0.0545786065001111,-0.0147687136985431,0.0232748088132333,20000,2
D12S391,AfAm,Asian,second_cousins,0,0.00730258281579946,0.0459075384974987,-0.0292040146853927,0.0682374131121078,20000,2
D16S539,AfAm,Asian,second_cousins,0,0.00539538544600576,0.0460319966855786,-0.0180157914495034,0.0261812222421771,20000,2
D18S51,AfAm,Asian,second_cousins,0,0.0143961247073695,0.0413382129008643,-0.00619024517620032,0.131313362039148,20000,2
