locus,panel,fs_AfAm_Asian_median,fs_AfAm_Asian_ci_lower,fs_AfAm_Asian_ci_upper,fs_Asian_AfAm_median,fs_Asian_AfAm_ci_lower,fs_Asian_AfAm_ci_upper,pc_AfAm_Asian_median,het_AfAm,het_Asian,het_Cauc,het_Hispanic,het_AfAm_minus_Asian,is_primary_driver,driver_threshold
F13B,Autosomal 29 only,0.6631,-0.5688,2.6743,0.5688,-0.3428,1.1382,0.3677,0.838,0.6115,0.8111,0.8015,0.2264,TRUE,0.05
F13A01,Autosomal 29 only,0.5648,-0.4644,1.9828,0.3874,-0.5648,0.9287,0.7391,0.8644,0.7604,0.8154,0.8534,0.1041,TRUE,0.05
D13S317,Core 13,0.1855,-0.5808,1.1828,0,-0.3605,1.3978,0.1779,0.7999,0.8663,0.8539,0.886,-0.0664,TRUE,0.05
TH01,Core 13,0.1097,-0.3492,0.5092,0.0858,-0.3862,0.6984,0.1823,0.8253,0.7943,0.8407,0.8495,0.031,TRUE,0.05
D5S818,Core 13,0.1059,-0.4335,0.9235,0,-0.3093,0.8672,0.1461,0.8304,0.8608,0.7934,0.8053,-0.0305,TRUE,0.05
Penta_E,Supplementary,0.1025,-0.6258,1.7292,0.1095,-0.2774,1.0927,0.1248,0.9327,0.941,0.9215,0.9358,-0.0083,TRUE,0.05
D18S51,Core 13,0.0948,-0.6013,0.7285,0.0284,-0.5199,1.0997,0.123,0.9141,0.8878,0.913,0.915,0.0263,TRUE,0.05
D7S820,Core 13,0.067,-0.267,0.4436,0,-0.3444,0.4429,0.1069,0.8455,0.8356,0.873,0.8499,0.0098,TRUE,0.05
D16S539,Core 13,0.0489,-0.2299,0.8803,0,-0.2237,0.4599,0.0674,0.86,0.846,0.8384,0.8589,0.0139,FALSE,0.05
D8S1179,Core 13,0.0324,-0.4302,0.2711,0,-0.2651,0.5677,0.0404,0.8652,0.8993,0.8669,0.8696,-0.0341,FALSE,0.05
D2S441,Expanded 20,0.0108,-0.407,0.6628,0,-0.4381,0.5195,0.0147,0.8342,0.8282,0.8421,0.8274,0.0061,FALSE,0.05
D6S1043,Autosomal 29 only,0.0089,-0.3533,0.4894,0,-0.2925,0.7013,0.0115,0.9112,0.9167,0.8762,0.9089,-0.0055,FALSE,0.05
CSF1PO,Core 13,0,-0.2413,1.3185,0.0096,-0.1546,0.3298,0.001,0.8504,0.8304,0.8108,0.8096,0.02,FALSE,0.05
D10S1248,Expanded 20,0,-0.1475,1.1038,0.0135,-0.155,0.2127,0,0.8649,0.8474,0.8348,0.8313,0.0174,FALSE,0.05
D12S391,Expanded 20,0,-0.2479,0.7728,0.0133,-0.2729,0.421,-0.0168,0.8993,0.8881,0.9235,0.9131,0.0112,FALSE,0.05
D19S433,Identifiler 15,0,-0.2794,1.3665,0.0493,-0.4668,0.3946,-0.0623,0.8998,0.8612,0.8395,0.8584,0.0387,FALSE,0.05
D1S1656,Expanded 20,0,-0.4065,1.0914,0.1732,-0.4894,0.6214,0,0.906,0.8911,0.9293,0.9198,0.0149,TRUE,0.05
D21S11,Core 13,0,-0.4628,1.4597,0.1684,-0.5098,0.7876,0.0078,0.8924,0.8695,0.8798,0.8851,0.0229,TRUE,0.05
D2S1338,Identifiler 15,0,-0.432,0.8954,0.098,-0.4023,0.6238,0,0.9264,0.9098,0.9182,0.915,0.0166,TRUE,0.05
FESFPS,Autosomal 29 only,0,-0.5429,1.5747,0.0627,-0.2975,0.9162,0,0.8464,0.8168,0.7937,0.7893,0.0296,TRUE,0.05
FGA,Core 13,0,-0.2168,0.7719,0.0443,-0.3249,0.6969,-0.0446,0.9082,0.8947,0.9023,0.9174,0.0135,FALSE,0.05
LPL,Autosomal 29 only,0,-0.3625,1.4566,0.1374,-0.2324,0.3625,0.0204,0.8332,0.6799,0.7928,0.7819,0.1533,TRUE,0.05
Penta_C,Autosomal 29 only,0,-0.28,0.8695,0.0415,-0.3411,0.5024,0,0.8701,0.8263,0.8309,0.851,0.0437,FALSE,0.05
Penta_D,Supplementary,0,-0.4058,1.6286,0.1859,0,0.4486,-0.0014,0.9173,0.8563,0.878,0.8868,0.061,TRUE,0.05
SE33,Supplementary,0,-0.4158,1.2862,0.0261,-0.438,0.9426,0.0235,0.9461,0.9555,0.9594,0.9546,-0.0094,FALSE,0.05
TPOX,Core 13,0,-0.2368,1.5004,0.1074,-0.3307,0.2368,-9e-04,0.8397,0.7362,0.7555,0.782,0.1035,TRUE,0.05
vWA,Core 13,0,-0.3425,1.1021,0.0988,-0.2141,0.4544,0,0.871,0.8555,0.8682,0.8606,0.0155,TRUE,0.05
D3S1358,Core 13,-0.0091,-0.1111,0.5023,0.0113,-0.0382,0.1111,-0.015,0.8278,0.8055,0.8568,0.8389,0.0222,FALSE,0.05
D22S1045,Expanded 20,-0.0209,-0.1862,1.1895,0.0577,0,0.1862,-0.0535,0.8799,0.8377,0.8114,0.7845,0.0422,TRUE,0.05
